""name"";"normal_capacity";"reserve";"fill_rate";"date"
"Hassan II";"392.3";"120.3";"30.7";"07/06/2020"
"Oued ZA";"94.9";"87.7";"92.5";"07/06/2021"
"Oued ZA";"94.9";"94.9";"100";"07/06/2020"
"Mohamed V";"239.5";"64.8";"27.1";"07/06/2021"
"Mohamed V";"239.5";"164.9";"68.8";"07/06/2020"
"Idriss 1er";"1129.6";"855.3";"75.7";"07/06/2021"
"Idriss 1er";"1129.6";"957.7";"84.8";"07/06/2020"
"Al Wahda";"3522.3";"2577.8";"73.2";"07/06/2021"
"Al Wahda";"3522.3";"2255.7";"64";"07/06/2020"
"El Kensera";"216.4";"105.6";"48.8";"07/06/2021"
"El Kensera";"216.4";"91.5";"42.3";"07/06/2020"
"Bin El Ouidane";"1215.5";"419.5";"34.5";"07/06/2021"
"Bin El Ouidane";"1215.5";"445.7";"36.7";"07/06/2020"
"Al Hanssali";"668.2";"201";"30.1";"07/06/2021"
"Al Hanssali";"668.2";"170.1";"25.5";"07/06/2020"
"Al Massira";"2657";"322.5";"12.1";"07/06/2021"
"Al Massira";"2657";"450";"16.9";"07/06/2020"
